word,num,x,y,z
優先,45,-9.946110051,2.973162676,-1.439280631
差別,45,-4.904017836,-3.365818253,-5.280154763
通常,44,-5.459460113,-3.843902815,7.65692071
運動,44,-2.711853516,-0.4212999822,-1.806494367
長期,44,-4.107148713,0.09143276602,1.181291036
声,44,3.317248929,-7.562380711,-2.704562021
新着,44,1.040066605,0.3859123397,0.8046775563
疫病,44,0.3875707002,-1.809137436,-2.37736308
特設,43,2.176531101,3.46317388,2.018403237
終了,43,-5.945160611,4.480545507,-0.1456801728
オリンピック,43,0.5088957053,2.80738025,-0.8953307982
傾向,43,-5.317063646,-6.492989435,2.166267177
感謝,43,1.320472263,-0.435886889,-7.363649463
水,43,7.287807488,-0.247765027,4.607555995
練習,43,-2.035762208,-1.680553784,-1.876715565
官房,43,2.16564693,3.172735731,-2.174582048
空港,43,2.616947415,10.08325535,8.913460677
大統領,42,-3.194081376,1.877854675,-8.162056464
公演,42,4.335379905,1.923655008,-2.630710715
話題,42,-1.572151523,-5.280687951,-3.883793254
窓口,42,-0.78121491,4.703519921,6.034681475
システム,42,-7.632672803,-0.02013105336,8.225586398
地方,41,1.564878524,9.097786688,2.827512526
需要,41,-8.151658271,0.7470195365,6.550381149
ガイドライン,41,-5.03863864,-0.5928277578,0.2349372803
現場,41,-0.5906138573,-2.385380074,-0.01046312573
地震,41,-1.827255696,3.220907313,2.739120754
規模,41,-5.490307891,3.527169237,6.61338375
臨時,41,1.676806909,8.031053714,1.988838594
種類,41,-6.41298181,-5.419340598,8.196403583
投稿,40,-4.863130336,0.3012058565,-4.48335291
ツイート,40,-0.0906127891,0.1964549761,-1.183149852
目,40,5.634953704,-3.144533752,0.7459082741
呼吸,40,-5.331188751,-5.856968079,1.358494285
注目,40,-7.514304415,0.5735516611,-6.001155022
指定,39,-6.019630885,12.42125726,4.108403572
支持,39,-8.648669566,2.923858526,-9.239822125
食事,39,-2.703913688,-4.059030515,-1.20366318
致死,39,-2.770355276,-1.55167538,1.090708503
首都,39,-0.5011644903,7.602812625,2.207240802
行政,39,-3.570190322,9.066001412,-0.1973678915
説,39,0.832940735,-6.51562434,-7.553802829
花粉,39,-1.744952618,-3.387738413,1.810225075
記者,39,4.988861693,2.144120194,-7.381143668
細胞,39,-5.985429944,-7.960723321,3.845807748
選手,38,1.67275853,-0.7518295411,-4.389147966
メール,38,-4.191036255,-3.169244119,-0.7407806477
猫,38,7.305295108,-6.561966563,-1.490182895
留意,38,-4.26589152,0.6234747418,-1.018503763
作業,38,-6.671433601,0.1454655231,5.29615837
顔,38,4.405044761,-10.04120673,-3.181892708
居住,38,-4.950358856,7.97221621,-2.088264046
親,38,4.926933048,-2.802225624,-7.488699075
嘘,38,2.241508243,-8.0304253,-4.936385613
生産,37,-11.08909449,5.819202943,4.17869237
都,37,7.478646729,7.594079552,2.296359054
演奏,37,-6.027512769,-0.808033503,-4.754988146
サッカー,37,2.931622775,2.590190385,-2.736292479
事前,37,-3.986350603,1.302057427,-0.343220085
費用,37,-6.552867855,1.477533644,4.676093593
回答,37,-6.140487626,-0.2561730734,-6.892763612
抗原,37,-2.89381739,-2.910694264,1.822514677
構想,37,-2.263418357,4.958731775,-0.6511701157
作成,36,-10.03212214,5.437498591,-4.139456536
グラフ,36,-2.360126592,-3.388865286,3.68507069
緩和,36,-9.268572631,4.74269416,1.14470222
都市,36,0.277628964,8.091509138,5.558549785
推進,36,-6.514753216,7.648939326,1.062812209
家,36,7.777099309,0.1246932496,-8.405403576
是非,36,-0.6810770514,-0.3923842481,-2.684736303
ランキング,36,-1.272216594,-0.3209679509,-0.9807444888
最初,36,-0.04275521794,-1.607866346,-0.9820145132
業界,35,-2.377614822,-2.049394605,1.333274269
考慮,35,-13.18414591,3.788712539,-0.9824345445
助成,35,-3.921931386,5.335264585,-0.7080454828
精神,35,-2.72661309,-6.232379397,-5.495859626
移動,35,-9.417262776,3.125282718,3.623603263
あと,35,2.791156226,-0.6413280974,0.3475693005
市場,35,-2.929172328,2.802016683,5.162569926
時事,35,2.461258316,0.08428816048,-2.105820428
労,35,-3.423786731,5.994240699,-3.704484216
日程,35,-3.536841049,0.7868200002,0.7469826031
隔離,35,-5.099925252,2.582559064,-2.425652196
長官,35,3.432961614,5.580431988,-4.968712464
マップ,34,-2.645309772,-2.340829314,6.602961466
リリース,34,-6.560343695,1.801909554,-4.424040578
出勤,34,-1.20440035,1.5974256,-1.777435968
要請,34,-4.508875914,6.509737416,-7.029431658
日常,34,-2.941504628,-5.679765041,-1.188715744
チケット,34,-2.303351587,-0.390800183,1.50437291
各地,34,-0.1830415158,4.506074757,0.8812624256
懸念,34,-8.628946386,1.649105632,-3.760105431
アンケート,34,-2.811925249,0.07726464643,-2.912142598
業務,34,-4.78692467,7.166039848,6.056816049
外,34,-1.941283608,0.7884795767,3.009493934
大臣,34,3.322184593,6.455795548,-4.942391352
メカニズム,34,-5.089703924,-3.595422449,2.771497122
ラーメン,34,4.492228998,-2.584441784,1.225667733
首相,34,-0.1637540461,3.443916518,-8.395319655
導入,33,-11.7732203,10.77864867,2.417765959
延長,33,-4.253860147,8.012316301,3.838495686
書籍,33,-0.5380263651,-0.3978564556,1.736672143
グループ,33,0.7223387975,3.717759531,1.459420516
最大,33,-2.443505329,2.002896395,5.060122874
火,33,3.932610521,-4.055808442,2.214396951
薬,33,-0.1803694905,-1.494940523,3.737299685
例,33,-3.420321361,-2.303721043,2.17407809
補助,33,-6.511695664,3.038028401,4.11603579
動向,33,-2.327337536,0.1681188534,-1.241409534
禁止,33,-7.527498001,2.622527954,-1.587811683
準備,32,-4.298043475,3.615381052,-0.360586899
ページ,32,-0.1091224051,-2.19051769,2.180645075
吸入,32,-4.273983165,-0.6217801802,1.980769754
秋,32,9.940562181,5.801131901,1.652139435
短縮,32,-7.559597566,5.288861874,3.050216703
秩序,32,-3.900283826,-1.232481092,-3.328936548
定員,32,-3.310387548,3.275439074,4.874712742
方針,32,-6.184894021,2.535457251,-2.868082455
休止,32,-3.954258195,6.675846049,1.330244714
出張,32,5.90122987,9.836461498,2.073703143
責任,32,-4.10824925,1.157080062,-7.343347802
通知,32,-8.003685921,3.718553975,-3.069478351
人類,32,-2.360567912,-4.012161276,-3.425493448
病原,32,-3.248926077,-2.846866769,0.729655063
市長,31,7.440644253,8.561701601,-4.014921662
チェック,31,-6.389554911,-1.493888895,-1.183355438
興味,31,-1.503281929,-6.998780585,-5.491623729
容疑,31,-0.103746015,2.263603118,-6.115877647
違反,31,-7.257588515,2.954313518,-4.544417934
雨,31,6.1612296,-3.973005551,1.321587197
バス,31,6.681091823,10.86514514,12.42666859
席,31,0.76608491,-1.022457499,4.100418916
展示,31,-2.28508133,6.145306874,3.474348018
限定,31,-5.649372259,4.042496512,2.807394471
リモート,31,-0.399069475,0.07394474578,1.819413152
咳,31,0.8732684935,-1.957868308,0.3573792915
街,31,4.869976803,1.690679877,3.068434069
休校,31,1.357659052,2.078432548,0.1085554179
職場,31,-1.373642332,-0.4189071706,-0.667089612
誕生,31,0.3574345647,3.417747381,-7.427822622
キット,30,-2.549213469,-2.91817481,5.281913673
中央,30,5.461623089,8.509119009,5.845523377
取得,30,-10.67824913,9.52973121,-2.365968875
配慮,30,-9.139666463,1.940313843,-3.788289729
要望,30,-3.587994375,4.434102409,-2.340808205
冬,30,6.668744305,-1.466988211,-0.0888002232
機能,30,-11.0141795,-2.026805658,7.834149663
論文,30,-2.828920176,-2.352281086,-4.92929689
スーパー,30,1.470906923,1.287877676,5.24241615
ゲーム,30,-4.069159847,-7.469470948,1.132223852
交流,30,-0.3950016017,4.485799205,-0.1135940405
そば,30,6.102877063,0.4643461653,2.827157268
住所,30,-0.07662479725,3.530494224,1.295313334
メディア,30,-3.9165368,-2.477160525,-0.778339581
上昇,29,-10.6514237,-0.6967010859,1.334852287
合計,29,-3.500433266,2.521367343,4.139814209
法人,29,2.062113228,10.21952522,2.519559361
メッセージ,29,-2.721532518,-5.559475919,-3.048275027
プロジェクト,29,-2.021097309,1.815933581,0.3969924725
セット,29,-3.30153955,-3.379322486,5.638756948
平均,29,-3.799018885,0.3991711043,3.600367146
ワーク,29,0.9665114748,0.06029031079,0.8852146278
指摘,29,-8.638660029,-0.2278621218,-8.64731108
ボート,29,-0.1475479541,-0.1484596398,2.49600181
最後,28,2.725062907,-2.944572856,-3.230857729
失業,28,-6.79657711,1.608697123,-3.181038883
本,28,9.80398725,0.8768024788,3.155969486
特許,28,-6.786226838,3.441105511,1.025953805
基本,28,-5.13344595,-1.398830971,4.241525064
和,28,12.4409942,3.741149884,0.3182298599
劇場,28,7.737384181,1.156791133,0.4596773191
意向,27,-1.131390797,1.912069208,-6.62863747
自動,27,0.3839319336,6.904464398,8.967806203
刑事,27,6.302933283,-0.06052305767,-3.247607973
歌手,27,4.326844547,-2.639157495,-4.574687038
弦,27,0.7948257857,-3.724449328,2.971997566
神社,27,10.97711541,4.695687839,0.6038188147
中心,27,2.386727884,3.621009205,2.555988849
トランプ,27,0.7577380022,-2.737024624,-0.7022679597
クラブ,27,0.8573271245,2.071659051,-2.729823633
主義,27,-4.480288564,-1.424489019,-7.016861133
自身,27,0.6512473104,-6.094767954,-7.987704469
母親,27,2.358774917,-5.744091939,-6.486241059
解除,27,-8.053629864,4.134857379,-2.038309649
製品,26,-7.378771589,-1.811419119,7.807247442
距離,26,-5.763244083,-2.310073091,8.892320785
東洋,26,5.567312561,1.963264317,0.2904140858
会,26,3.988266353,8.511046741,-3.349130273
謝,26,6.458686893,0.1864026892,-4.303414488
ただ,26,3.131661847,-1.456019299,-0.3737760344
力,26,-5.378904863,-6.497606101,-1.350106218
疾患,26,-4.480596268,-4.511168142,-0.1011919945
寄付,26,-5.210831486,7.200195488,-4.058567113
激,26,1.042675756,-3.404115259,-2.118701669
低下,26,-10.79096256,0.7842310873,-0.3703624139
市立,26,10.1400847,6.251206469,3.696877963
投資,26,-9.358730041,4.759663089,0.4739228112
支出,26,-7.690142705,3.757856165,-1.741968679
自己,26,-4.917177925,-6.202572105,-2.875053278
春,26,11.55836317,1.114384269,-2.688083983
集計,26,-7.165205798,2.771165698,-0.7167931557
ルール,26,-6.627859567,-4.294329914,-0.471110774
人工,26,-3.312491804,-2.004073073,4.708020103
意識,26,-7.201373442,-6.341598797,-6.065499312
形,25,-2.875074733,-4.018668447,8.223295134
消滅,25,-7.814650806,5.174226427,-3.717397318
豪雨,25,-0.8363956709,1.913419814,2.637572945
救急,25,-1.423009533,1.31351706,2.520879344
パソコン,25,-5.000447276,-2.927596911,3.237923259
閉鎖,25,-6.371520463,9.678917613,1.371934872
事務,25,3.649158398,10.26248627,0.06674320837
夢,25,8.70779014,-5.501158207,-3.613169971
成功,25,-6.76658713,-0.2831662135,-5.361267811
不足,25,-9.215848328,0.8484029455,0.2823054445
